Question,PossibleAnswer1,PossibleAnswer2,PossibleAnswer3,PossibleAnswer4,CorrectAnswer
Which of the following is the set of rules that governs data communication?,FCC,Standards,Protocols,RFCs,C
How many layers does OSI have?,4,7,5,6,B
Collection of network or networks is called,Intranet,Internet,Extranet,LAN network,B
Total number of layers in a Internet Protocol Stack are,7,6,5,4,C
Which of the following service do DSL Telcos companies provide?,ISP,Wired phone access,Both a and b,None,C
IP version 6 is _____ bits longer.,32,128,48,22,B
What is the size of the IP version 4?,22 bytes,32 bits,32 bytes,99 bytes,B
This is one of the architecture paradigm,Peer to peer,Client-server,HTTP,Both a and b,D
Computer Network is,Collection of hardware components and computers,Interconnected by communication channels,Sharing of resources and information,All of the Above,D
What is a Firewall in Computer Network?,The physical boundary of Network,An operating System of Computer Network,A system designed to prevent unauthorized access,A web browsing Software,C
What is the meaning of Bandwidth in Network?,Transmission capacity of a communication channels,Connected Computers in the Network,Class of IP used in Network,None of Above,A
ADSL is the abbreviation of,Asymmetric Dual Subscriber Line,Asymmetric Digital System Line,Asymmetric Dual System Line,Asymmetric Digital Subscriber Line,D
The Internet is an example of,Cell switched network,circuit switched network,Packet switched network,All of above,C
What does protocol defines?,Protocol defines what data is communicated.,Protocol defines how data is communicated.,Protocol defines when data is communicate,d.  All of above,D
Which of the following includes the benefit of the Networking?,File Sharing,Easier access to Resources,Easier Backups,All of the Above,D
Which of the following is not the Networking Devices?,Gateways,Linux,Routers,Firewalls,B
A network point that provides entrance into another network is called as ___________.,Node,Gateway,Switch,Router,B
We can divide today's networks into ____ broad categories based on switching.,four,three,five,two,B
A repeater is a connecting device that operates in the _______ layer of the Internet model.,physical,data link,network,all of the above,A
"A _______ regenerates a signal, connects segments of a LAN, and has no filtering capability.",repeater,bridge,router,none of the above,A
A _______ is a connecting device that operates in the physical and data link layers of the Internet model.,repeater,bridge,router,none of the above,B
A ________ bridge can forward and filter frames and automatically build its forwarding table.,simple,dual,transparent,none of the above,C
A bridge can use the _________ algorithm to create a loopless topology.,binary tree,spanning tree,multiway tree,none of the above,B
A _______ is a device that operates only in the physical layer.,passive hub,repeater,bridge,router,B
"A ________receives a signal and, before it becomes too weak or corrupted, regenerates the original bit pattern. It then sends the refreshed signal.",passive hub,repeater,bridge,router,B
A __________ forwards every frame; it has no filtering capability.,passive hub,repeater,bridge,router,B
________ is actually a multiport repeater. It is normally used to create connections between stations in a physical star topology.,An active hub,A passive hub,either (a) or (b),neither (a) nor (b),A
A ________ operates in both the physical and the data link layer.,passive hub,repeater,bridge,router,C
A _______ can check the MAC addresses contained in the frame.,passive hub,repeater,bridge,router,C
A ______ has a table used in filtering decisions.,passive hub,repeater,bridge,none of the above,C
A ________ is a device in which the stations are completely unaware of its existence.,passive hub,repeater,simple bridge,transparent bridge,D
A three-layer switch is a kind of ________.,repeater,bridge,router,none of the above,C
A two-layer switch is a ______.,repeater,bridge,router,none of the above,B
A _______ is a three-layer device that handles packets based on their logical addresses.,repeater,bridge,router,none of the above,C
A ______ normally connects LANs and WANs in the Internet and has a table that is used for making decisions about the route.,repeater,bridge,router,none of the above,C
A ______ switch is a faster and more sophisticated router.,two-layer,three-layer,four-layer,none of the above,B
A ________ is normally a computer that operates in all five layers of the Internet model or seven layers of OSI model.,repeater,bridge,router,gateway,D
A _____ can be used as a connecting device between two internetworks that use different models.,repeater,bridge,router,gateway,D
"In a _____ backbone, the backbone is just one switch.",bus,ring,star,none of the above,C
_______ is a first-generation cellular phone system.,AMPS,D-AMPS,GSM,none of the above,A
__________ is a second-generation cellular phone system.,AMPS,D-AMPS,GSM,none of the above,B
____________ is a digital version of AMPS.,GSM,D-AMPS,IS-95,none of the above,B
___________ is a second-generation cellular phone system used in Europe.,GSM,D-AMPS,IS-95,none of the above   Q112. ________ is a second-generation cellular phone system based on CDMA and DSSS. a.  GSM  b.  D-AMPS  c.  IS-95  d.  none of the above,C
The __________ cellular phone system will provide universal personal communication.,first-generation,second-generation,third-generation,none of the above,C
"In a ______ handoff, a mobile station only communicates with one base station.",hard,soft,medium,none of the above,A
"In a ______ handoff, a mobile station can communicate with two base stations at the same time.",hard,soft,medium,none of the above,B
_______ is an analog cellular phone system using FDMA.,AMPS,D-AMPS,GSM,none of the above,A
AMPS operates in the ISM _____ band.,800-MHz,900-MHz,1800-MHz,none of the above,A
"In AMPS, each band is divided into ______ channels.",800,900,1000,none of the above,D
AMPS has a frequency reuse factor of _______.,1,3,5,7,D
AMPS uses ______ to divide each 25-MHz band into channels.,FDMA,TDMA,CDMA,none of the above,A
GSM allows a reuse factor of _______.,1,3,5,7,B
GSM is a digital cellular phone system using ________.,FDMA,TDMA,CDMA,both (a) and (b),D
IS-95 is based on ____________.,FDMA,CDMA,DSSS,all of the above,D
IS-95 uses the ISM _______band.,800-MHz,900-MHz,1900-MHz,either (a) or (c),D
IS-95 uses the _______ satellite system for synchronization.,GPS,Teledesic,Iridium,none of the above,A
"In an IS-95 system, the frequency-reuse factor is normally _____.",1,3,5,7,A
"In the third generation of cellular phones, _______ uses W-CDMA.",IMT-DS,IMT-MC,IMT-TC,IMT-SC,A
"In the third generation of cellular phones, ________ uses CDMA2000.",IMT-DS,IMT-MC,IMT-TC,IMT-SC,C
"In the third generation of cellular phones, _______ uses TDMA.",IMT-DS,IMT-MC,IMT-TC,IMT-SC,D
